               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.022243,            0.014722,           0.0022477,             0.98088,             0.94713,             0.98472,             0.81457,            0.017476,            0.011824,           0.0030807,            0.006535,            0.006535,            0.006535
                  37,            0.022781,            0.014496,            0.002304,             0.98373,             0.97124,             0.98687,             0.81069,            0.022145,            0.011397,           0.0024014,            0.006436,            0.006436,            0.006436
                  38,            0.022456,            0.014403,           0.0020737,             0.99292,             0.97379,             0.98666,             0.80157,            0.017377,            0.011077,           0.0022451,            0.006337,            0.006337,            0.006337
                  39,            0.022476,            0.014864,           0.0020998,             0.99027,             0.96506,             0.98691,             0.79692,             0.01958,            0.011229,           0.0020271,            0.006238,            0.006238,            0.006238
                  40,            0.022052,            0.014755,           0.0020012,             0.98627,             0.95747,             0.97817,             0.81274,            0.016552,            0.011135,           0.0025869,            0.006139,            0.006139,            0.006139
                  41,            0.021687,            0.014162,           0.0020012,             0.99484,             0.97539,             0.98782,             0.79301,            0.022469,            0.011572,           0.0018934,             0.00604,             0.00604,             0.00604
                  42,             0.02116,            0.014269,           0.0017037,             0.99371,             0.97738,             0.98791,             0.81566,            0.015886,            0.010358,           0.0018101,            0.005941,            0.005941,            0.005941
                  43,            0.021146,            0.014413,           0.0018048,              0.9936,               0.981,             0.98805,             0.85177,             0.01481,           0.0098972,           0.0017656,            0.005842,            0.005842,            0.005842
                  44,            0.020556,            0.013669,           0.0016788,             0.99517,             0.97093,             0.98997,              0.8319,            0.015349,             0.01041,           0.0018375,            0.005743,            0.005743,            0.005743
                  45,            0.020856,            0.013716,           0.0019304,             0.99264,             0.97909,             0.99044,             0.85129,            0.014406,            0.010011,           0.0018578,            0.005644,            0.005644,            0.005644
                  46,             0.02065,            0.013922,           0.0019178,             0.99116,             0.98106,             0.98778,             0.83876,            0.013654,           0.0098219,           0.0017162,            0.005545,            0.005545,            0.005545
                  47,            0.020702,            0.014225,           0.0019093,             0.99335,             0.97542,             0.99013,             0.86211,            0.014131,           0.0097733,           0.0017565,            0.005446,            0.005446,            0.005446
                  48,            0.020492,             0.01374,           0.0016009,             0.99511,             0.97382,             0.98799,             0.85333,            0.015077,           0.0099211,           0.0017582,            0.005347,            0.005347,            0.005347
